City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Ulladulla,AU,2021-02-03 20:03:51,-35.35,150.4667,64.0,88,5,1.14
149,Quatre Cocos,MU,2021-02-03 20:03:51,-20.2078,57.7625,79.0,89,75,4.61
150,Deputatskiy,RU,2021-02-03 20:03:51,69.3,139.9,-19.93,89,100,2.91
151,Chicama,PE,2021-02-03 20:03:51,-7.8447,-79.1469,73.4,78,0,10.36
152,Kadoshkino,RU,2021-02-03 20:03:51,54.0257,44.4191,29.05,99,100,10.29
153,Bilibino,RU,2021-02-03 20:03:51,68.0546,166.4372,-0.06,83,100,7.94
154,Pangody,RU,2021-02-03 20:03:51,65.85,74.4859,5.59,95,100,5.3
155,Grand Forks,US,2021-02-03 20:03:51,47.9417,-97.4337,28.4,100,90,10.36
156,Sozimskiy,RU,2021-02-03 20:03:52,59.7418,52.2482,8.53,95,100,4.16
157,Tasiilaq,GL,2021-02-03 20:03:52,65.6145,-37.6368,27.79,97,91,27.02
158,Ormara,PK,2021-02-03 20:03:52,25.2088,64.6357,70.54,30,0,18.45
159,Bredasdorp,ZA,2021-02-03 20:03:52,-34.5322,20.0403,64.4,72,0,1.14
160,Manta,EC,2021-02-03 20:01:22,-0.95,-80.7333,84.2,79,40,9.22
161,Baghdad,IQ,2021-02-03 19:58:58,33.3406,44.4009,55.4,58,10,1.81
162,Ancud,CL,2021-02-03 20:03:52,-41.8697,-73.8203,71.6,56,0,6.91
163,Yarada,IN,2021-02-03 20:03:52,17.65,83.2667,64.4,82,0,2.3
164,Bugko,PH,2021-02-03 20:03:52,12.5356,124.7923,77.09,89,34,14.03
165,Husavik,IS,2021-02-03 20:03:52,66.0449,-17.3389,15.8,79,0,10.36
166,Abu Road,IN,2021-02-03 20:03:52,24.4833,72.7833,63.27,32,0,2.21
167,Bayana,IN,2021-02-03 20:03:53,26.9,77.2833,58.17,53,26,6.31
168,Cabo San Lucas,MX,2021-02-03 20:03:53,22.8909,-109.9124,87.8,22,20,14.97
169,Tibacuy,CO,2021-02-03 20:03:53,4.3511,-72.4564,98.37,26,43,4.74
170,Kavaratti,IN,2021-02-03 20:03:53,10.5669,72.642,81.21,62,52,3.8
171,Fairbanks,US,2021-02-03 20:02:43,64.8378,-147.7164,-11.2,58,90,4.61
172,Bugiri,UG,2021-02-03 20:03:53,0.5714,33.7417,68.88,80,100,4.25
173,Mocuba,MZ,2021-02-03 20:03:53,-16.8392,36.9856,75.09,94,0,1.66
174,Henties Bay,NA,2021-02-03 20:03:53,-22.116,14.2845,66.99,84,80,7.27
175,Kaitangata,NZ,2021-02-03 20:03:53,-46.2817,169.8464,54.0,64,77,11.99
176,Vuktyl,RU,2021-02-03 20:03:53,63.8567,57.3094,5.61,95,96,6.04
177,Longyearbyen,SJ,2021-02-03 20:02:02,78.2186,15.6401,23.0,68,75,12.66
