City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Sao Filipe,CV,14.8961,-24.4956,68.77,75,100,13.67,overcast clouds
210,Collie,AU,-33.3667,116.15,66.0,90,92,10.0,light rain
211,Gimli,CA,50.6336,-96.9907,-22.0,63,0,2.3,clear sky
212,Gunnedah,AU,-30.9833,150.25,84.0,50,5,4.0,clear sky
213,Shwebo,MM,22.5667,95.7,66.43,57,0,5.12,clear sky
214,Belmonte,BR,-15.8631,-38.8828,78.8,83,75,6.91,broken clouds
215,Caravelas,BR,-17.7125,-39.2481,75.96,93,100,6.13,overcast clouds
216,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,9.22,clear sky
217,Tura,IN,25.5198,90.2201,63.45,40,0,2.53,clear sky
218,Shinshiro,JP,34.9,137.5,52.0,55,20,11.99,few clouds
219,Trairi,BR,-3.2778,-39.2689,78.89,85,21,7.52,few clouds
220,Kununurra,AU,-15.7667,128.7333,87.8,79,75,8.05,broken clouds
221,Vao,NC,-22.6667,167.4833,78.17,76,46,3.11,scattered clouds
222,Madaba,JO,31.5833,35.6667,50.0,81,0,5.75,haze
223,Xiongzhou,CN,25.1167,114.3,66.04,59,97,5.86,overcast clouds
224,Bone,DE,51.9669,12.1396,19.99,91,100,4.0,snow
225,Half Moon Bay,US,37.4636,-122.4286,60.8,82,1,6.91,haze
226,Liverpool,GB,53.4106,-2.9779,34.0,64,75,16.11,broken clouds
227,Srednekolymsk,RU,67.45,153.6833,-3.46,84,43,5.73,scattered clouds
228,Richards Bay,ZA,-28.783,32.0377,74.46,92,100,6.15,overcast clouds
229,Tirano,IT,46.2154,10.1679,45.0,99,100,6.87,overcast clouds
230,Labuhan,ID,-6.8844,112.2051,80.47,81,98,13.06,overcast clouds
231,Troitsko-Pechorsk,RU,62.7084,56.1964,-23.06,86,100,8.55,light snow
232,Den Helder,NL,52.9599,4.7593,25.0,80,75,33.38,light snow
233,Roma,US,43.2128,-75.4557,19.4,49,20,12.66,few clouds
234,Itarema,BR,-2.9248,-39.9167,79.79,81,46,12.15,scattered clouds
235,Listvyanskiy,RU,54.4399,83.4984,10.27,94,20,11.34,few clouds
236,Bajil,YE,15.0584,43.2851,71.47,77,52,2.17,broken clouds
237,Kruisfontein,ZA,-34.0033,24.7314,62.01,87,100,6.98,overcast clouds
238,Plerin,FR,48.5425,-2.7798,37.99,74,100,8.99,overcast clouds
239,Jining,CN,35.405,116.5814,43.0,1,100,4.18,overcast clouds
240,Kodiak,US,57.79,-152.4072,33.8,69,1,6.17,clear sky
241,Homer,US,59.6425,-151.5483,26.6,74,1,6.91,clear sky
242,Hirara,JP,24.8,125.2833,71.6,64,40,12.66,scattered clouds
243,Novozybkov,RU,52.5396,31.9275,1.4,85,0,6.71,clear sky
244,Faya,SA,18.3851,42.4509,51.8,53,0,3.44,clear sky
245,Kalmunai,LK,7.4167,81.8167,77.59,87,28,10.87,scattered clouds
246,Pichayevo,RU,53.2363,42.2032,-1.71,93,100,8.81,overcast clouds
247,La Rioja,ES,42.25,-2.5,41.0,93,75,3.44,broken clouds
248,Upington,ZA,-28.4478,21.2561,69.8,49,0,4.61,clear sky
249,Padre Bernardo,BR,-15.35,-48.5,66.88,97,100,3.38,heavy intensity rain
250,Davila,PH,18.4726,120.5763,84.2,74,75,6.91,broken clouds
251,Biltine,TD,14.5333,20.9167,65.44,25,72,14.14,broken clouds
